/Users/amitkallapa/Loan Management System Development/.ralph/venv/lib/python3.11/site-packages/coverage/core.py:107: CoverageWarning: Couldn't import C tracer: dlopen(/Users/amitkallapa/Loan Management System Development/.ralph/venv/lib/python3.11/site-packages/coverage/tracer.cpython-311-darwin.so, 0x0002): tried: '/Users/amitkallapa/Loan Management System Development/.ralph/venv/lib/python3.11/site-packages/coverage/tracer.cpython-311-darwin.so' (mach-o file, but is an incompatible architecture (have 'arm64', need 'x86_64')), '/System/Volumes/Preboot/Cryptexes/OS/Users/amitkallapa/Loan Management System Development/.ralph/venv/lib/python3.11/site-packages/coverage/tracer.cpython-311-darwin.so' (no such file), '/Users/amitkallapa/Loan Management System Development/.ralph/venv/lib/python3.11/site-packages/coverage/tracer.cpython-311-darwin.so' (mach-o file, but is an incompatible architecture (have 'arm64', need 'x86_64')) (no-ctracer); see https://coverage.readthedocs.io/en/7.14.3/messages.html#warning-no-ctracer
  warn(f"Couldn't import C tracer: {IMPORT_ERROR}", slug="no-ctracer", once=True)
Creating test database for alias 'default'...
Found 189 test(s).
System check identified no issues (0 silenced).
.........................................................................Catalogue seeded: 177 permissions, 20 roles, 8 teams, 161 role-permission links.
Catalogue seeded: 177 permissions, 20 roles, 8 teams, 161 role-permission links.
..............................................................Demo users seeded: demo.system_admin@sfpcl.example, demo.credit_manager@sfpcl.example, demo.compliance@sfpcl.example, demo.treasury@sfpcl.example, demo.internal_auditor@sfpcl.example, demo.tracer@sfpcl.example, demo.zero@sfpcl.example (predictable local/dev password set; do not use in production).
.Demo users seeded: demo.system_admin@sfpcl.example, demo.credit_manager@sfpcl.example, demo.compliance@sfpcl.example, demo.treasury@sfpcl.example, demo.internal_auditor@sfpcl.example, demo.tracer@sfpcl.example, demo.zero@sfpcl.example (predictable local/dev password set; do not use in production).
.Demo users seeded: demo.system_admin@sfpcl.example, demo.credit_manager@sfpcl.example, demo.compliance@sfpcl.example, demo.treasury@sfpcl.example, demo.internal_auditor@sfpcl.example, demo.tracer@sfpcl.example, demo.zero@sfpcl.example (predictable local/dev password set; do not use in production).
.Demo users seeded: demo.system_admin@sfpcl.example, demo.credit_manager@sfpcl.example, demo.compliance@sfpcl.example, demo.treasury@sfpcl.example, demo.internal_auditor@sfpcl.example, demo.tracer@sfpcl.example, demo.zero@sfpcl.example (predictable local/dev password set; do not use in production).
Demo users seeded: demo.system_admin@sfpcl.example, demo.credit_manager@sfpcl.example, demo.compliance@sfpcl.example, demo.treasury@sfpcl.example, demo.internal_auditor@sfpcl.example, demo.tracer@sfpcl.example, demo.zero@sfpcl.example (predictable local/dev password set; do not use in production).
.Demo users seeded: demo.system_admin@sfpcl.example, demo.credit_manager@sfpcl.example, demo.compliance@sfpcl.example, demo.treasury@sfpcl.example, demo.internal_auditor@sfpcl.example, demo.tracer@sfpcl.example, demo.zero@sfpcl.example (predictable local/dev password set; do not use in production).
...Demo users seeded: demo.system_admin@sfpcl.example, demo.credit_manager@sfpcl.example, demo.compliance@sfpcl.example, demo.treasury@sfpcl.example, demo.internal_auditor@sfpcl.example, demo.tracer@sfpcl.example, demo.zero@sfpcl.example (predictable local/dev password set; do not use in production).
.Demo users seeded: demo.system_admin@sfpcl.example, demo.credit_manager@sfpcl.example, demo.compliance@sfpcl.example, demo.treasury@sfpcl.example, demo.internal_auditor@sfpcl.example, demo.tracer@sfpcl.example, demo.zero@sfpcl.example (predictable local/dev password set; do not use in production).
.Demo users seeded: demo.system_admin@sfpcl.example, demo.credit_manager@sfpcl.example, demo.compliance@sfpcl.example, demo.treasury@sfpcl.example, demo.internal_auditor@sfpcl.example, demo.tracer@sfpcl.example, demo.zero@sfpcl.example (predictable local/dev password set; do not use in production).
.E2E users seeded: e2e.tracer@sfpcl.example (role e2e_tracer, permission tracer.lifecycle.run); e2e.zero@sfpcl.example (role it_head, no permissions).
.E2E users seeded: e2e.tracer@sfpcl.example (role e2e_tracer, permission tracer.lifecycle.run); e2e.zero@sfpcl.example (role it_head, no permissions).
.E2E users seeded: e2e.tracer@sfpcl.example (role e2e_tracer, permission tracer.lifecycle.run); e2e.zero@sfpcl.example (role it_head, no permissions).
.E2E users seeded: e2e.tracer@sfpcl.example (role e2e_tracer, permission tracer.lifecycle.run); e2e.zero@sfpcl.example (role it_head, no permissions).
.E2E users seeded: e2e.tracer@sfpcl.example (role e2e_tracer, permission tracer.lifecycle.run); e2e.zero@sfpcl.example (role it_head, no permissions).
E2E users seeded: e2e.tracer@sfpcl.example (role e2e_tracer, permission tracer.lifecycle.run); e2e.zero@sfpcl.example (role it_head, no permissions).
........................................
----------------------------------------------------------------------
Ran 189 tests in 188.294s

OK
Destroying test database for alias 'default'...
Name                                                             Stmts   Miss  Cover
------------------------------------------------------------------------------------
__init__.py                                                          0      0   100%
api.py                                                              25      3    88%
communications/__init__.py                                           0      0   100%
communications/apps.py                                               4      0   100%
communications/migrations/0001_initial.py                            6      0   100%
communications/migrations/0002_communication.py                      6      0   100%
communications/migrations/0003_notification.py                       6      0   100%
communications/migrations/__init__.py                                0      0   100%
communications/models.py                                            80      0   100%
communications/services.py                                         389     43    89%
communications/views.py                                             95     12    87%
config/__init__.py                                                   0      0   100%
config/settings.py                                                  29      2    93%
config/urls.py                                                      11      0   100%
configurations/__init__.py                                           0      0   100%
configurations/apps.py                                               4      0   100%
configurations/migrations/0001_initial.py                            8      0   100%
configurations/migrations/__init__.py                                0      0   100%
configurations/models.py                                            48      0   100%
configurations/services.py                                         224     28    88%
configurations/views.py                                             71     12    83%
dashboard/__init__.py                                                0      0   100%
dashboard/services.py                                               24      1    96%
dashboard/views.py                                                  17      0   100%
documents/__init__.py                                                0      0   100%
documents/apps.py                                                    4      0   100%
documents/migrations/0001_initial.py                                 8      0   100%
documents/migrations/__init__.py                                     0      0   100%
documents/models.py                                                 26      1    96%
documents/services.py                                               67      1    99%
documents/storage.py                                                41      0   100%
documents/views.py                                                  29      0   100%
identity/__init__.py                                                 0      0   100%
identity/admin_views.py                                             97     16    84%
identity/audit_views.py                                             16      0   100%
identity/catalogue.py                                               35      0   100%
identity/management/__init__.py                                      0      0   100%
identity/management/commands/__init__.py                             0      0   100%
identity/management/commands/seed_demo_users.py                     82      7    91%
identity/management/commands/seed_e2e_users.py                      45      2    96%
identity/management/commands/seed_role_catalogue.py                  7      0   100%
identity/migrations/0001_initial.py                                  8      0   100%
identity/migrations/0002_permission_rolepermission_and_more.py       7      0   100%
identity/migrations/__init__.py                                      0      0   100%
identity/models.py                                                 139      6    96%
identity/modules/__init__.py                                         0      0   100%
identity/modules/admin_users.py                                    125     13    90%
identity/modules/audit_log.py                                       60      1    98%
identity/modules/auth_service.py                                    88      7    92%
identity/modules/http_auth.py                                       31      0   100%
identity/modules/object_permissions.py                              36      0   100%
identity/modules/tokens.py                                          36      4    89%
identity/views.py                                                   64     10    84%
manage.py                                                           10      0   100%
ops.py                                                              16      0   100%
scheduler/__init__.py                                                0      0   100%
scheduler/apps.py                                                    4      0   100%
scheduler/migrations/0001_initial.py                                 6      0   100%
scheduler/migrations/__init__.py                                     0      0   100%
scheduler/models.py                                                 25      0   100%
scheduler/services.py                                               90     22    76%
tests/__init__.py                                                    0      0   100%
tests/api_contracts.py                                              56      0   100%
tests/base.py                                                        8      0   100%
tests/test_admin_users_api.py                                      176      0   100%
tests/test_api_contract_harness.py                                 116      0   100%
tests/test_api_envelope.py                                          42      0   100%
tests/test_audit_logs_api.py                                       130      0   100%
tests/test_auth_api.py                                             164      0   100%
tests/test_auth_module.py                                          148      0   100%
tests/test_backend_infrastructure.py                                29      0   100%
tests/test_catalogue_seed.py                                        90      0   100%
tests/test_communications_api.py                                   141      0   100%
tests/test_configurations_api.py                                   172      0   100%
tests/test_content_templates_api.py                                132      0   100%
tests/test_dashboard_api.py                                        105      0   100%
tests/test_document_files_api.py                                   193      0   100%
tests/test_health_api.py                                            28      0   100%
tests/test_notifications_api.py                                    155      1    99%
tests/test_object_permissions.py                                    60      0   100%
tests/test_scheduler_services.py                                    48      0   100%
tests/test_seed_demo_users.py                                      140      0   100%
tests/test_seed_e2e_users.py                                        59      0   100%
tests/test_tracer_api.py                                           125      0   100%
tests/test_workflow_events_api.py                                  102      0   100%
tests/test_workflow_guard.py                                        28      0   100%
tracer/__init__.py                                                   0      0   100%
tracer/apps.py                                                       4      0   100%
tracer/migrations/0001_initial.py                                    8      0   100%
tracer/migrations/0002_remove_tracer_workflowevent_state.py          4      0   100%
tracer/migrations/__init__.py                                        0      0   100%
tracer/models.py                                                    46      0   100%
tracer/services.py                                                 118      4    97%
tracer/views.py                                                    100     16    84%
workflows/__init__.py                                                2      0   100%
workflows/apps.py                                                    4      0   100%
workflows/event_views.py                                            17      0   100%
workflows/events.py                                                 61      2    97%
workflows/guard.py                                                  51      2    96%
workflows/migrations/0001_canonical_workflow_event.py                8      0   100%
workflows/migrations/__init__.py                                     0      0   100%
workflows/models.py                                                 16      0   100%
------------------------------------------------------------------------------------
TOTAL                                                             5135    216    96%
