Name                                                                      Stmts   Miss  Cover
---------------------------------------------------------------------------------------------
__init__.py                                                                   0      0   100%
api.py                                                                       25      3    88%
applications/__init__.py                                                      0      0   100%
applications/apps.py                                                          4      0   100%
applications/migrations/0001_initial.py                                       8      0   100%
applications/migrations/0002_loanapplication_submitted_by_user.py             5      0   100%
applications/migrations/0003_systemsequence_loanrequestregisterentry.py       7      0   100%
applications/migrations/0004_applicationdocument_and_more.py                  7      0   100%
applications/migrations/0005_application_deficiency.py                        7      0   100%
applications/migrations/__init__.py                                           0      0   100%
applications/models.py                                                      198     17    91%
applications/services.py                                                    523     49    91%
applications/views.py                                                       257     40    84%
communications/__init__.py                                                    0      0   100%
communications/apps.py                                                        4      0   100%
communications/migrations/0001_initial.py                                     6      0   100%
communications/migrations/0002_communication.py                               6      0   100%
communications/migrations/0003_notification.py                                6      0   100%
communications/migrations/__init__.py                                         0      0   100%
communications/models.py                                                     80      0   100%
communications/services.py                                                  389     43    89%
communications/views.py                                                      95     12    87%
config/__init__.py                                                            0      0   100%
config/settings.py                                                           29      2    93%
config/urls.py                                                               13      0   100%
configurations/__init__.py                                                    0      0   100%
configurations/apps.py                                                        4      0   100%
configurations/migrations/0001_initial.py                                     8      0   100%
configurations/migrations/__init__.py                                         0      0   100%
configurations/models.py                                                     48      0   100%
configurations/services.py                                                  224     28    88%
configurations/views.py                                                      71     12    83%
dashboard/__init__.py                                                         0      0   100%
dashboard/services.py                                                        24      1    96%
dashboard/views.py                                                           17      0   100%
documents/__init__.py                                                         0      0   100%
documents/apps.py                                                             4      0   100%
documents/migrations/0001_initial.py                                          8      0   100%
documents/migrations/__init__.py                                              0      0   100%
documents/models.py                                                          26      1    96%
documents/services.py                                                        67      1    99%
documents/storage.py                                                         41      0   100%
documents/views.py                                                           29      0   100%
identity/__init__.py                                                          0      0   100%
identity/admin_views.py                                                      97     16    84%
identity/audit_views.py                                                      16      0   100%
identity/catalogue.py                                                        35      0   100%
identity/management/__init__.py                                               0      0   100%
identity/management/commands/__init__.py                                      0      0   100%
identity/management/commands/seed_demo_users.py                              82      7    91%
identity/management/commands/seed_e2e_users.py                               45      2    96%
identity/management/commands/seed_role_catalogue.py                           7      0   100%
identity/migrations/0001_initial.py                                           8      0   100%
identity/migrations/0002_permission_rolepermission_and_more.py                7      0   100%
identity/migrations/0003_portal_member_auth.py                                7      0   100%
identity/migrations/__init__.py                                               0      0   100%
identity/models.py                                                          184      6    97%
identity/modules/__init__.py                                                  0      0   100%
identity/modules/admin_users.py                                             125     13    90%
identity/modules/audit_log.py                                                60      1    98%
identity/modules/auth_service.py                                             93      7    92%
identity/modules/http_auth.py                                                31      0   100%
identity/modules/object_permissions.py                                       36      0   100%
identity/modules/portal_auth_service.py                                     204     31    85%
identity/modules/tokens.py                                                   42      4    90%
identity/views.py                                                           135     33    76%
manage.py                                                                    10      0   100%
members/__init__.py                                                           0      0   100%
members/apps.py                                                               4      0   100%
members/migrations/0001_initial.py                                            8      0   100%
members/migrations/0002_profile_shells.py                                     7      0   100%
members/migrations/0003_individual_profile_details.py                         4      0   100%
members/migrations/0004_nominee.py                                            7      0   100%
members/migrations/0005_shareholding_and_more.py                              8      0   100%
members/migrations/0006_landholding_cropplan_and_more.py                      7      0   100%
members/migrations/0007_kycprofile_kycdocument_and_more.py                    7      0   100%
members/migrations/0008_cancelledcheque_bankaccount_and_more.py               7      0   100%
members/migrations/__init__.py                                                0      0   100%
members/models.py                                                           343     28    92%
members/services.py                                                         656     46    93%
members/views.py                                                            282     29    90%
ops.py                                                                       16      0   100%
scheduler/__init__.py                                                         0      0   100%
scheduler/apps.py                                                             4      0   100%
scheduler/migrations/0001_initial.py                                          6      0   100%
scheduler/migrations/__init__.py                                              0      0   100%
scheduler/models.py                                                          25      0   100%
scheduler/services.py                                                        90     22    76%
tests/__init__.py                                                             0      0   100%
tests/api_contracts.py                                                       56      0   100%
tests/base.py                                                                 8      0   100%
tests/test_admin_users_api.py                                               176      0   100%
tests/test_api_contract_harness.py                                          116      0   100%
tests/test_api_envelope.py                                                   42      0   100%
tests/test_audit_logs_api.py                                                130      0   100%
tests/test_auth_api.py                                                      164      0   100%
tests/test_auth_module.py                                                   148      0   100%
tests/test_backend_infrastructure.py                                         29      0   100%
tests/test_catalogue_seed.py                                                 90      0   100%
tests/test_communications_api.py                                            141      0   100%
tests/test_configurations_api.py                                            172      0   100%
tests/test_content_templates_api.py                                         132      0   100%
tests/test_dashboard_api.py                                                 105      0   100%
tests/test_document_files_api.py                                            193      0   100%
tests/test_health_api.py                                                     28      0   100%
tests/test_loan_applications_api.py                                         712      0   100%
tests/test_member_bank_accounts_api.py                                      173      0   100%
tests/test_member_directory_api.py                                           78      0   100%
tests/test_member_kyc_api.py                                                154      0   100%
tests/test_member_land_crop_api.py                                          157      0   100%
tests/test_member_nominees_api.py                                           138      2    99%
tests/test_member_profile_api.py                                            213      0   100%
tests/test_member_shareholdings_api.py                                      113      0   100%
tests/test_notifications_api.py                                             155      1    99%
tests/test_object_permissions.py                                             60      0   100%
tests/test_portal_auth_api.py                                                89      0   100%
tests/test_scheduler_services.py                                             48      0   100%
tests/test_seed_demo_users.py                                               140      0   100%
tests/test_seed_e2e_users.py                                                 59      0   100%
tests/test_tracer_api.py                                                    125      0   100%
tests/test_workflow_events_api.py                                           102      0   100%
tests/test_workflow_guard.py                                                 28      0   100%
tracer/__init__.py                                                            0      0   100%
tracer/apps.py                                                                4      0   100%
tracer/migrations/0001_initial.py                                             8      0   100%
tracer/migrations/0002_remove_tracer_workflowevent_state.py                   4      0   100%
tracer/migrations/__init__.py                                                 0      0   100%
tracer/models.py                                                             46      0   100%
tracer/services.py                                                          118      4    97%
tracer/views.py                                                             100     16    84%
workflows/__init__.py                                                         2      0   100%
workflows/apps.py                                                             4      0   100%
workflows/event_views.py                                                     17      0   100%
workflows/events.py                                                          61      2    97%
workflows/guard.py                                                           51      2    96%
workflows/migrations/0001_canonical_workflow_event.py                         8      0   100%
workflows/migrations/__init__.py                                              0      0   100%
workflows/models.py                                                          16      0   100%
---------------------------------------------------------------------------------------------
TOTAL                                                                      9658    481    95%
