Name                                                                                            Stmts   Miss  Cover
-------------------------------------------------------------------------------------------------------------------
__init__.py                                                                                         0      0   100%
api.py                                                                                             31     16    48%
applications/__init__.py                                                                            0      0   100%
applications/apps.py                                                                                4      0   100%
applications/migrations/0001_initial.py                                                             8      0   100%
applications/migrations/0002_loanapplication_submitted_by_user.py                                   5      0   100%
applications/migrations/0003_systemsequence_loanrequestregisterentry.py                             7      0   100%
applications/migrations/0004_applicationdocument_and_more.py                                        7      0   100%
applications/migrations/0005_application_deficiency.py                                              7      0   100%
applications/migrations/0006_rejection_note.py                                                      7      0   100%
applications/migrations/0007_eligibilityassessment.py                                               7      0   100%
applications/migrations/0008_loanlimitassessment.py                                                 7      0   100%
applications/migrations/0009_loan_limit_policy_snapshot.py                                          4      0   100%
applications/migrations/0010_loanapplication_nominee.py                                             5      0   100%
applications/migrations/0011_witness.py                                                             7      0   100%
applications/migrations/0012_witness_verification_evidence.py                                      19      9    53%
applications/migrations/0013_witness_correction.py                                                  7      0   100%
applications/migrations/0014_witness_contact_fields.py                                              4      0   100%
applications/migrations/__init__.py                                                                 0      0   100%
applications/models.py                                                                            297     78    74%
applications/modules/__init__.py                                                                    0      0   100%
applications/modules/application_authority.py                                                      18     16    11%
applications/modules/document_generation_facts.py                                                  23     10    57%
applications/modules/nominee_validation.py                                                         21     13    38%
applications/modules/rejection_notes.py                                                            20     18    10%
applications/modules/witness_corrections.py                                                       106    106     0%
applications/services.py                                                                          865    856     1%
applications/views.py                                                                             540    536     1%
approvals/__init__.py                                                                               0      0   100%
approvals/apps.py                                                                                   5      0   100%
approvals/management/__init__.py                                                                    0      0   100%
approvals/management/commands/__init__.py                                                           0      0   100%
approvals/management/commands/seed_approval_configuration.py                                       11     11     0%
approvals/migrations/0001_initial.py                                                                8      0   100%
approvals/migrations/0002_approvalcase_workflow_event.py                                           15      5    67%
approvals/migrations/0003_approvalmatrixrule_sanctioncommittee.py                                  16      2    88%
approvals/migrations/0004_approval_configuration_history_constraints.py                             4      0   100%
approvals/migrations/0005_approvalconfigurationproposal.py                                          7      0   100%
approvals/migrations/0006_approvalcase_configuration_snapshot.py                                    5      0   100%
approvals/migrations/0007_approvalcase_enrichment_snapshot.py                                       4      0   100%
approvals/migrations/0008_approvalaction.py                                                         7      0   100%
approvals/migrations/0009_sanction_decision_and_case_closure.py                                     7      0   100%
approvals/migrations/0010_approvalcasereadscopegrant_and_more.py                                   79     54    32%
approvals/migrations/0011_approvalcase_appraisal_facts_json_and_more.py                            23     13    43%
approvals/migrations/0012_approvalconflictdeclaration_and_more.py                                  20      9    55%
approvals/migrations/0013_conflict_projection_scope_closure.py                                     35     23    34%
approvals/migrations/0014_exceptionregisterentry_and_more.py                                        7      0   100%
approvals/migrations/0015_generalmeetingapproval_and_more.py                                        7      0   100%
approvals/migrations/0016_creditsanctionregisterentry.py                                            7      0   100%
approvals/migrations/0017_exceptionregisterentry_supporting_documents_json.py                       4      0   100%
approvals/migrations/0018_creditsanctionregisterentry_source_review_facts_json.py                   4      0   100%
approvals/migrations/0019_register_source_facts.py                                                 23     10    57%
approvals/migrations/0020_approvalaction_approver_display_name.py                                   4      0   100%
approvals/migrations/__init__.py                                                                    0      0   100%
approvals/models.py                                                                               307      6    98%
approvals/modules/__init__.py                                                                       4      3    25%
approvals/modules/approval_actions.py                                                             165    165     0%
approvals/modules/approval_case_engine.py                                                         410    410     0%
approvals/modules/approval_case_projection.py                                                      28     28     0%
approvals/modules/approval_case_selector.py                                                        30     30     0%
approvals/modules/approval_matrix.py                                                               45     45     0%
approvals/modules/approval_matrix_configuration.py                                                306    292     5%
approvals/modules/conflict_of_interest.py                                                          69     69     0%
approvals/modules/document_generation_facts.py                                                     23     23     0%
approvals/modules/exception_register.py                                                           101    101     0%
approvals/modules/general_meeting.py                                                              141    141     0%
approvals/modules/read_scope.py                                                                    44     44     0%
approvals/modules/sanction_committee.py                                                            29     29     0%
approvals/modules/sanction_handoff.py                                                             218    218     0%
approvals/modules/sanction_register.py                                                            120    120     0%
approvals/views.py                                                                                198    198     0%
communications/__init__.py                                                                          0      0   100%
communications/apps.py                                                                              4      0   100%
communications/migrations/0001_initial.py                                                           6      0   100%
communications/migrations/0002_communication.py                                                     6      0   100%
communications/migrations/0003_notification.py                                                      6      0   100%
communications/migrations/__init__.py                                                               0      0   100%
communications/models.py                                                                           80      1    99%
communications/services.py                                                                        395    383     3%
communications/views.py                                                                            95     95     0%
config/__init__.py                                                                                  0      0   100%
config/asgi.py                                                                                      4      4     0%
config/postgres_test_settings.py                                                                    3      3     0%
config/settings.py                                                                                 32      2    94%
config/urls.py                                                                                     14     12    14%
config/wsgi.py                                                                                      4      4     0%
configurations/__init__.py                                                                          0      0   100%
configurations/apps.py                                                                              4      0   100%
configurations/migrations/0001_initial.py                                                           8      0   100%
configurations/migrations/0002_version_history_approval_evidence.py                                 4      0   100%
configurations/migrations/__init__.py                                                               0      0   100%
configurations/models.py                                                                           52      0   100%
configurations/modules/__init__.py                                                                  0      0   100%
configurations/modules/configuration_resolver.py                                                   22     22     0%
configurations/services.py                                                                        224    224     0%
configurations/views.py                                                                            71     71     0%
credit/__init__.py                                                                                  1      0   100%
credit/apps.py                                                                                      5      0   100%
credit/migrations/0001_credit_assessment_model_ownership.py                                        20      2    90%
credit/migrations/0002_riskassessment_loanappraisalnote.py                                          7      0   100%
credit/migrations/0003_appraisal_prerequisite_snapshots.py                                         32     17    47%
credit/migrations/0004_appraisal_review_facts.py                                                    4      0   100%
credit/migrations/0005_appraisalreviewdecision.py                                                  33     18    45%
credit/migrations/0006_legacy_appraisal_history_remediation.py                                     20     10    50%
credit/migrations/0007_eligibility_active_member_snapshot.py                                        4      0   100%
credit/migrations/__init__.py                                                                       0      0   100%
credit/models.py                                                                                  125      3    98%
credit/modules/__init__.py                                                                          0      0   100%
credit/modules/appraisal_workflow.py                                                              476    470     1%
credit/modules/borrower_limit_projection.py                                                        50     50     0%
credit/modules/common.py                                                                           43     43     0%
credit/modules/eligibility_assessment.py                                                          143    143     0%
credit/modules/loan_limit_calculator.py                                                           268    268     0%
dashboard/__init__.py                                                                               0      0   100%
dashboard/apps.py                                                                                   4      4     0%
dashboard/services.py                                                                              24     24     0%
dashboard/views.py                                                                                 17     17     0%
documents/__init__.py                                                                               0      0   100%
documents/apps.py                                                                                   4      0   100%
documents/migrations/0001_initial.py                                                                8      0   100%
documents/migrations/0002_documenttemplate.py                                                       7      0   100%
documents/migrations/0003_documenttemplateidentity.py                                              10      0   100%
documents/migrations/0004_loandocument.py                                                           7      0   100%
documents/migrations/__init__.py                                                                    0      0   100%
documents/models.py                                                                                87      2    98%
documents/modules/__init__.py                                                                       0      0   100%
documents/modules/document_generation.py                                                          194    182     6%
documents/modules/document_templates.py                                                           155    148     5%
documents/selectors.py                                                                             41     41     0%
documents/services.py                                                                             117    107     9%
documents/storage.py                                                                               57     34    40%
documents/views.py                                                                                101    101     0%
domain_errors.py                                                                                   18     18     0%
identity/__init__.py                                                                                0      0   100%
identity/admin_views.py                                                                            97     97     0%
identity/audit_views.py                                                                            16     16     0%
identity/catalogue.py                                                                              37     18    51%
identity/management/__init__.py                                                                     0      0   100%
identity/management/commands/__init__.py                                                            0      0   100%
identity/management/commands/seed_demo_users.py                                                    83     83     0%
identity/management/commands/seed_e2e_users.py                                                     91     91     0%
identity/management/commands/seed_role_catalogue.py                                                 7      7     0%
identity/migrations/0001_initial.py                                                                 8      0   100%
identity/migrations/0002_permission_rolepermission_and_more.py                                      7      0   100%
identity/migrations/0003_portal_member_auth.py                                                      7      0   100%
identity/migrations/__init__.py                                                                     0      0   100%
identity/models.py                                                                                184     23    88%
identity/modules/__init__.py                                                                        0      0   100%
identity/modules/admin_users.py                                                                   125    125     0%
identity/modules/audit_log.py                                                                      60     60     0%
identity/modules/auth_service.py                                                                  105     99     6%
identity/modules/http_auth.py                                                                      31     31     0%
identity/modules/object_permissions.py                                                             36     36     0%
identity/modules/portal_auth_service.py                                                           204    204     0%
identity/modules/tokens.py                                                                         43     40     7%
identity/views.py                                                                                 135    135     0%
manage.py                                                                                          10     10     0%
